                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1765,                 2.8367,                 1.4361,                0.70206,                0.64865,                0.64538,                0.43868,                 1.0973,                 13.644,                  1.438,             0.00023338,             0.00023338,             0.00023338
                      1,                 1.1775,                 1.7654,                 1.4408,                0.32394,                0.62162,                0.34518,                 0.1818,                 1.3445,                    inf,                 1.8962,             0.00047659,             0.00047659,             0.00047659
                      2,                 1.2238,                  1.669,                 1.4994,                0.07727,                0.45946,                0.05322,                0.02394,                 1.7587,                 67.158,                 2.6313,             0.00071273,             0.00071273,             0.00071273
                      3,                 1.3183,                 1.6309,                 1.5539,                0.07727,                0.45946,                0.05322,                0.02394,                 3.5029,                    inf,                   59.6,              0.0009418,              0.0009418,              0.0009418
                      4,                 1.3021,                 1.4042,                 1.4874,                0.06522,                0.32432,                0.05555,                0.01894,                 2.5257,                 75.353,                 3.7071,              0.0011638,              0.0011638,              0.0011638
                      5,                 1.3666,                 1.5368,                 1.5499,                0.05574,                0.45946,                0.04963,                0.02241,                 2.0996,                 92.698,                 3.3212,              0.0013787,              0.0013787,              0.0013787
                      6,                 1.4166,                  1.689,                 1.6394,                0.07374,                0.35135,                0.07129,                0.02848,                 2.3898,                 43.339,                 3.6041,              0.0015255,              0.0015255,              0.0015255
                      7,                 1.4232,                 1.5376,                 1.6021,                0.00285,                0.13514,                0.00099,                 0.0003,                 3.9326,                 171.84,                 6.2595,              0.0015255,              0.0015255,              0.0015255
                      8,                 1.4171,                 1.5146,                 1.5974,                0.09489,                0.18919,                0.09587,                0.03398,                 2.2552,                 11.252,                 3.3008,               0.001502,               0.001502,               0.001502
                      9,                  1.521,                 1.5406,                 1.6613,                0.30439,                0.24324,                0.13771,                0.05541,                 2.5964,                 5.3414,                 3.8305,              0.0014784,              0.0014784,              0.0014784
                     10,                 1.4174,                 1.5517,                 1.6344,                0.16044,                0.21622,                0.12518,                0.05271,                 2.6443,                 10.709,                 3.4679,              0.0014548,              0.0014548,              0.0014548
                     11,                   1.33,                 1.4117,                 1.5053,                 0.0482,                0.05405,                0.03467,                0.02032,                 2.9881,                 27.413,                 3.8128,              0.0014312,              0.0014312,              0.0014312
                     12,                 1.3218,                 1.2912,                 1.5038,                0.29575,                0.32432,                0.28395,                0.11408,                 2.0328,                 4.5337,                 2.5524,              0.0014077,              0.0014077,              0.0014077
                     13,                 1.2619,                 1.3085,                 1.4801,                0.54589,                0.62162,                0.59045,                0.34841,                 1.3537,                 2.4932,                  1.787,              0.0013841,              0.0013841,              0.0013841
                     14,                  1.247,                 1.3061,                 1.4512,                0.64934,                0.75081,                0.74884,                0.45352,                 1.2667,                 1.8241,                 1.7547,              0.0013605,              0.0013605,              0.0013605
                     15,                 1.3038,                 1.3011,                 1.4809,                0.74369,                 0.7027,                0.74224,                0.49306,                 1.3847,                 1.3346,                 1.8778,              0.0013369,              0.0013369,              0.0013369
                     16,                 1.2818,                 1.2402,                 1.4736,                0.72256,                0.59459,                 0.6457,                0.43103,                  1.311,                 1.6921,                 1.7088,              0.0013134,              0.0013134,              0.0013134
                     17,                 1.2313,                 1.1905,                 1.4508,                0.85115,                0.62162,                0.70952,                0.43766,                 1.4369,                 1.7056,                 1.8627,              0.0012898,              0.0012898,              0.0012898
                     18,                  1.217,                 1.1753,                 1.4072,                0.72287,                0.59459,                0.68763,                0.45299,                 1.2949,                 1.7261,                  1.752,              0.0012662,              0.0012662,              0.0012662
                     19,                  1.175,                 1.1742,                 1.3757,                0.81665,                0.64865,                0.73628,                0.50588,                  1.211,                  1.285,                 1.7125,              0.0012426,              0.0012426,              0.0012426
                     20,                 1.2417,                 1.1993,                 1.4219,                0.81602,                0.75676,                0.79076,                0.51615,                 1.3166,                  1.356,                 1.7255,              0.0012191,              0.0012191,              0.0012191
                     21,                 1.1388,                 1.1291,                  1.368,                0.92169,                0.67568,                0.78857,                0.50483,                 1.2715,                  1.261,                 1.6681,              0.0011955,              0.0011955,              0.0011955
                     22,                 1.1801,                 1.0968,                  1.378,                0.95414,                0.72973,                0.76097,                0.51588,                 1.1922,                 1.7044,                 1.5997,              0.0011719,              0.0011719,              0.0011719
                     23,                  1.151,                 1.1062,                 1.3825,                0.89956,                0.62162,                0.70258,                0.47408,                 1.2809,                 1.7736,                 1.6074,              0.0011483,              0.0011483,              0.0011483
                     24,                 1.1782,                 1.1271,                 1.4247,                0.92058,                0.62674,                0.81215,                 0.5703,                  1.141,                 1.0091,                 1.5115,              0.0011247,              0.0011247,              0.0011247
                     25,                 1.0918,                 1.0959,                  1.367,                0.87508,                0.54054,                0.63903,                0.43297,                 1.2611,                  1.829,                 1.7161,              0.0011012,              0.0011012,              0.0011012
                     26,                 1.1629,                 1.0936,                 1.4112,                0.74191,                0.62155,                0.64601,                0.40532,                 1.3801,                 1.5607,                 1.7367,              0.0010776,              0.0010776,              0.0010776
                     27,                 1.0781,                 1.0248,                 1.3313,                  0.884,                 0.7027,                0.80844,                 0.5716,                 1.0767,                0.96816,                 1.5438,               0.001054,               0.001054,               0.001054
                     28,                  1.058,                 0.9578,                 1.3314,                0.92039,                0.72973,                0.81701,                0.57148,                 1.0508,                0.92074,                 1.4978,              0.0010304,              0.0010304,              0.0010304
                     29,                 1.0646,                 1.0325,                 1.3332,                0.90256,                 0.7512,                0.83909,                0.58016,                 1.1085,                  1.025,                 1.5986,              0.0010069,              0.0010069,              0.0010069
                     30,                 1.0788,                0.98825,                  1.303,                0.95121,                0.75676,                0.86306,                0.55941,                 1.1354,                0.90787,                 1.5973,             0.00098329,             0.00098329,             0.00098329
                     31,                 1.0404,                 1.0067,                 1.3214,                0.91182,                 0.7027,                0.83751,                0.58257,                  1.082,                 1.4005,                 1.4973,             0.00095972,             0.00095972,             0.00095972
                     32,                 1.0373,                0.97008,                 1.2812,                0.85126,                0.72973,                0.81213,                0.60138,                 1.0031,                0.92488,                 1.4113,             0.00093614,             0.00093614,             0.00093614
                     33,                0.98009,                0.96604,                 1.2672,                0.85952,                 0.7027,                0.81788,                0.58488,                 1.0446,                0.97877,                 1.4629,             0.00091256,             0.00091256,             0.00091256
                     34,                0.99575,                 1.0157,                 1.3119,                0.98263,                 0.7027,                0.82393,                 0.6058,                0.93573,                 0.8376,                 1.3763,             0.00088899,             0.00088899,             0.00088899
                     35,                0.94874,                0.96023,                 1.2481,                 0.8902,                 0.7027,                0.76642,                 0.5506,                 1.0267,                  0.906,                 1.4152,             0.00086541,             0.00086541,             0.00086541
                     36,                0.92685,                0.88837,                 1.2433,                0.87313,                0.75676,                0.83089,                0.63384,                0.96358,                0.82626,                 1.3609,             0.00084184,             0.00084184,             0.00084184
                     37,                 0.9917,                0.94862,                 1.2735,                0.84678,                0.74704,                0.81807,                0.60592,                 1.0395,                0.86626,                 1.4268,             0.00081826,             0.00081826,             0.00081826
                     38,                0.98087,                0.88736,                 1.2697,                0.96112,                0.67568,                0.80061,                0.60419,                 1.0094,                0.93085,                 1.3928,             0.00079468,             0.00079468,             0.00079468
                     39,                0.93095,                0.87979,                  1.247,                0.92353,                0.65295,                0.79306,                0.61696,                0.95426,                0.95382,                 1.3072,             0.00077111,             0.00077111,             0.00077111
                     40,                0.99218,                0.99042,                 1.3059,                0.96255,                 0.6948,                0.78835,                0.62087,                 0.9789,                 0.9026,                 1.3258,             0.00074753,             0.00074753,             0.00074753
                     41,                0.93809,                 0.8296,                 1.2639,                0.99468,                0.72973,                0.82269,                0.63884,                0.90602,                0.82105,                 1.3048,             0.00072395,             0.00072395,             0.00072395
                     42,                0.86212,                0.85803,                 1.1993,                0.83926,                0.78378,                0.80016,                0.63423,                0.91336,                0.82567,                 1.3574,             0.00070038,             0.00070038,             0.00070038
                     43,                0.90118,                0.84687,                 1.2102,                 0.7489,                0.83784,                0.79782,                0.56766,                0.99824,                0.90695,                 1.4225,              0.0006768,              0.0006768,              0.0006768
                     44,                0.88482,                0.81143,                 1.1938,                0.86943,                0.78378,                0.80702,                0.59741,                0.99461,                0.85951,                 1.4398,             0.00065323,             0.00065323,             0.00065323
                     45,                0.87089,                0.84316,                 1.2134,                0.90741,                0.81081,                0.83135,                0.62652,                0.99814,                0.78635,                 1.4321,             0.00062965,             0.00062965,             0.00062965
                     46,                0.88161,                0.78268,                 1.2023,                0.87279,                0.81081,                0.86077,                  0.665,                0.87835,                 0.7281,                 1.3048,             0.00060607,             0.00060607,             0.00060607
                     47,                0.85331,                0.79484,                 1.1889,                0.87332,                0.78378,                0.87071,                0.66511,                0.88361,                0.62083,                  1.337,              0.0005825,              0.0005825,              0.0005825
                     48,                0.89446,                0.89198,                 1.2307,                      1,                0.72777,                0.86882,                0.67247,                 0.8746,                0.65536,                 1.3347,             0.00055892,             0.00055892,             0.00055892
                     49,                0.82756,                 0.7478,                 1.1868,                0.89308,                0.75676,                 0.8438,                0.62036,                0.90957,                0.70168,                 1.3815,             0.00053535,             0.00053535,             0.00053535
                     50,                 0.8394,                0.77986,                 1.1839,                0.99446,                0.75676,                0.87286,                0.65292,                0.91528,                0.73745,                 1.3602,             0.00051177,             0.00051177,             0.00051177
                     51,                0.83892,                0.73517,                 1.1833,                0.96842,                0.82912,                 0.8889,                0.68206,                0.89409,                0.63965,                 1.3528,             0.00048819,             0.00048819,             0.00048819
                     52,                0.79594,                0.77203,                 1.1686,                0.93747,                0.81042,                0.88528,                0.66549,                0.92489,                0.64654,                 1.3972,             0.00046462,             0.00046462,             0.00046462
                     53,                0.81027,                0.75244,                 1.1701,                0.99374,                0.78378,                0.85933,                0.66307,                0.86573,                0.62458,                 1.3278,             0.00044104,             0.00044104,             0.00044104
                     54,                0.76227,                0.69384,                 1.1261,                0.96785,                0.81362,                0.88012,                0.67994,                 0.8713,                0.64687,                 1.3114,             0.00041746,             0.00041746,             0.00041746
                     55,                0.79317,                0.70351,                 1.1228,                0.87477,                0.81081,                0.86489,                0.66964,                0.89018,                0.66826,                 1.3297,             0.00039389,             0.00039389,             0.00039389
                     56,                0.80159,                0.67512,                 1.1462,                0.90954,                0.83784,                0.87789,                0.69304,                0.84479,                0.60202,                 1.2825,             0.00037031,             0.00037031,             0.00037031
                     57,                0.76788,                0.63802,                 1.1225,                0.90912,                0.83784,                0.87735,                0.70234,                0.84768,                0.62743,                 1.2907,             0.00034674,             0.00034674,             0.00034674
                     58,                0.75911,                0.67525,                 1.1027,                0.93524,                0.78073,                0.87478,                0.66884,                0.87322,                0.64893,                 1.3374,             0.00032316,             0.00032316,             0.00032316
                     59,                0.77845,                0.78071,                 1.1223,                0.96165,                0.78378,                0.86509,                0.67582,                0.87596,                 0.6777,                 1.2817,             0.00029958,             0.00029958,             0.00029958
                     60,                0.78269,                0.70587,                  1.129,                0.92999,                0.83784,                0.87449,                0.67143,                0.88281,                0.63124,                 1.3226,             0.00027601,             0.00027601,             0.00027601
                     61,                0.77169,                 0.6559,                 1.1241,                0.93741,                0.80958,                 0.8732,                0.69311,                0.82991,                0.59831,                 1.2819,             0.00025243,             0.00025243,             0.00025243
                     62,                0.72163,                0.64998,                 1.1004,                0.96634,                0.77614,                0.87137,                0.66301,                0.88535,                 0.6214,                 1.3223,             0.00022886,             0.00022886,             0.00022886
                     63,                0.71574,                0.65746,                 1.0969,                0.96752,                0.80514,                0.87922,                0.66612,                0.90444,                0.62924,                 1.3851,             0.00020528,             0.00020528,             0.00020528
                     64,                0.72786,                0.61366,                 1.1146,                0.96612,                0.78378,                0.87668,                0.68935,                0.85134,                0.60258,                 1.3308,              0.0001817,              0.0001817,              0.0001817
                     65,                0.69395,                0.59362,                 1.0598,                0.99241,                0.78378,                0.88473,                0.68715,                0.83962,                0.58575,                 1.3228,             0.00015813,             0.00015813,             0.00015813
                     66,                0.67818,                0.62619,                 1.0835,                0.96035,                0.83784,                0.88668,                0.69039,                0.84499,                 0.5614,                  1.321,             0.00013455,             0.00013455,             0.00013455
                     67,                0.63255,                 0.5625,                 1.0588,                0.96043,                0.83784,                0.88495,                0.68294,                0.83062,                0.53435,                 1.2877,             0.00011097,             0.00011097,             0.00011097
